Puni naziv;Skraćeni naziv;Adresa;Pošta i mesto;Region;Matični broj;Poreski br.;Pravni oblik:;Datum osnivanja:;Delatnost:
BRATISLAV POPOVIĆ PR POSTAVLjANjE PODNIH I ZIDNIH OBLOGA GOLAŠ KERAMIKA NOVI SAD;BRATISLAV POPOVIĆ PR POSTAVLjANjE PODNIH I ZIDNIH OBLOGA GOLAŠ KERAMIKA NOVI SAD;RUMENAČKA 17;21000 Novi Sad;Južno-Bački;66706591;113277650;Preduzetnik;26.9.2022.;Postavljanje podnih i zidnih obloga
RADOSLAV IGNJATOVIĆ PR RADNJA ZA POPRAVKU MAŠINA GOLAŠ-R NIŠ;RADOSLAV IGNJATOVIĆ PR RADNJA ZA POPRAVKU MAŠINA GOLAŠ-R NIŠ;Ćurlinska 36;18000 NIŠ;Grad Niš;65604884;111702249;Preduzetnik;18.10.2019.;Popravka mašina
SZR JUNIOR INŽENJERING NIKODIJEVIĆ SRBOLJUB PREDUZETNIK, DESPOTOVAC;SZR JUNIOR INŽENJERING NIKODIJEVIĆ SRBOLJUB PREDUZETNIK, DESPOTOVAC;Cerje BB;35213 DESPOTOVAC;Pomoravski;55756198;102622047;Preduzetnik;1.4.2003.;Rezanje i obrada drveta
JUNIOR S.Z.R. NIKOLA MARINKOVIĆ;JUNIOR S.Z.R. NIKOLA MARINKOVIĆ;TROGIRSKA 1;;Not Found;55499217;103196819;Preduzetnik;1.1.0001.;Not Found
JUNIOR S.Z.R. ZORAN BUKVIĆ;JUNIOR S.Z.R. ZORAN BUKVIĆ;DUNAVSKA 4;25230 Kula;Zapadno-Bački;52186030;100260897;Preduzetnik;1.1.0001.;Not Found
SZR JUNIOR SMEDEREVO;SZR JUNIOR;I. GUNDULIĆA 3 71;11300 SMEDEREVO;Podunavski;54855150;Not Found;Preduzetnik;1.1.0001.;Not Found
DUŠAN ANDREJIĆ PR MAŠINSKA OBRADA METALA FABRORUM BOBOVO;DUŠAN ANDREJIĆ PR FABRORUM;BOBOVO;35217 Bobovo;Pomoravski;64700448;110169369;Preduzetnik;4.8.2017.;Mašinska obrada metala
DRUŠTVO ZA PROIZVODNJU, PROMET I USLUGE GM CONVERTING DOO GORNJI MILANOVAC;GM CONVERTING DOO GORNJI MILANOVAC;Nevade 235A;32300 GORNJI MILANOVAC;Moravički;20039213;103864595;Društvo sa ograničenom odgovornošću;29.3.2005.;Proizvodnja ostalih mašina i aparata opšte namene
PREDUZEĆE ZA PROIZVODNJU,TRGOVINU I USLUGE AGROART DOO STARA PAZOVA;AGROART DOO STARA PAZOVA;KARAĐORĐEVA 52;22300 Stara Pazova;Sremski;08667209;100530995;Društvo sa ograničenom odgovornošću;22.1.1998.;Proizvodnja mašina za poljoprivredu i šumarstvo
PRIVREDNO DRUŠTVO ZA PROIZVODNJU PROMET I USLUGE AGRO ART-AS 031 DOO ARILJE;AGRO ART-AS 031 DOO ARILJE;Trg Bratstva i jedinstva BB;31230 Arilje;Zlatiborski;21483613;111445703;Društvo sa ograničenom odgovornošću;21.5.2019.;Uslužne delatnosti u gajenju useva i zasada
SLAVICA GOJKOVIĆ PREDUZETNIK KONSALTING AGROART BEOGRAD;SLAVICA GOJKOVIĆ PREDUZETNIK AGROART;KRONŠTATSKA 14A;11000 BEOGRAD;Grad Beograd;66368858;112809129;Preduzetnik;14.12.2021.;Konsultantske aktivnosti u vezi s poslovanjem i ostalim upravljanjem
SR PROIZVODNJA PREDMETA OD METALA PLASTIKE, GUME I PLASTIČNE AMBALAŽE I TRGOVINA NA VELIKO VUČKO VUČKOVIĆ ZORAN PREDUZETNIK STARA PAZOVA;VUČKO;KARAĐORĐEVA 118;22300 Stara Pazova;Sremski;55148481;100485193;Preduzetnik;15.5.2002.;Proizvodnja ostalih proizvoda od plastike
IVAN VUČKOVIĆ PR SAMOSTALNA ZANATSKO TRGOVINSKA RADNJA VUČKO GORNJI MILANOVAC;VUČKO;Klatičevo BB;32300 GORNJI MILANOVAC;Moravički;55928142;102952112;Preduzetnik;1.7.2003.;Proizvodnja ostale građevinske stolarije i elemenata
SAMOSTALNA TRGOVINSKA I AUTOPREVOZNIČKA RADNJA KLAS STOJKOVIĆ VUČKO PR GORNJI MILANOVAC;SAMOSTALNA TRGOVINSKA I AUTOPREVOZNIČKA RADNJA KLAS STOJKOVIĆ VUČKO PR GORNJI MILANOVAC;Kneza Aleksandra 143;32300 GORNJI MILANOVAC;Moravički;52070856;100889339;Preduzetnik;7.3.1995.;Ostala trgovina na malo novim proizvodima u specijalizovanim prodavnicama
"PREDŠKOLSKA USTANOVA ""VUČKO""";"PREDŠKOLSKA USTANOVA ""VUČKO""";12.Oktobra 9;11211 Borča;Grad Beograd;17917447;110987400;Not Found;1.1.0001.;Not Found
DRAGAN VUKANAC PR PREVOZ PUTNIKA VUČKO TOURS VETERNIK;DRAGAN VUKANAC PR PREVOZ PUTNIKA VUČKO TOURS VETERNIK;LASTINA 53A;21203 Veternik;Južno-Bački;61825096;105364307;Preduzetnik;23.12.2008.;Ostali prevoz putnika u kopnenom saobraćaju
SAMOSTALNA UGOSTITELJSKA RADNJA VUČKO-84 OLIVERA PUDAR PREDUZETNIK BEOGRAD (VOŽDOVAC);VUČKO-84;USTANIČKA 128A;11010 BEOGRAD-VOŽDOVAC;Grad Beograd;60136416;104367909;Preduzetnik;10.5.2006.;Delatnosti restorana i pokretnih ugostiteljskih objekta
MIRJANA VUČKOVIĆ PREDUZETNIK ZANATSKO KROJAČKA TRGOVINSKA USLUŽNA RADNJA VUČKO MBS SURDULICA;MIRJANA VUČKOVIĆ PREDUZETNIK ZANATSKO KROJAČKA TRGOVINSKA USLUŽNA RADNJA VUČKO MBS SURDULICA;JADRANSKA 16;17530 SURDULICA;Pčinjski;63220876;108108649;Preduzetnik;7.6.2013.;Proizvodnja gotovih tekstilnih proizvoda, osim odeće
AUTO ŠKOLA VUČKO PROM DOO KRUŠEVAC;VUČKO PROM DOO KRUŠEVAC;SLOBODANA JOVANOVIĆA 22B, LOKAL 2;37000 KRUŠEVAC;Rasinski;20241721;104838502;Društvo sa ograničenom odgovornošću;4.1.2007.;Delatnost škola za vozače
VUK ŠUKOVIĆ PREDUZETNIK DRUMSKI PREVOZ TERETA VUČKO TRANS BELEGIŠ;VUK ŠUKOVIĆ PREDUZETNIK VUČKO TRANS;STEVE MARTINOVIĆA 13;22306 Belegiš;Sremski;64576771;110004141;Preduzetnik;24.4.2017.;Drumski prevoz tereta
GORDANA ISAILOVIĆ PR PROIZVODNO TRGOVINSKA RADNJA GOCIN VUČKO NEGOTIN;GORDANA ISAILOVIĆ PR GOCIN VUČKO;SRBE JOVANOVIĆA BB;19300 NEGOTIN;Borski;63452963;108438822;Preduzetnik;6.3.2014.;Proizvodnja ostale odeće
SAMOSTALNA ZANATSKA RADNJA ALINOKS SAŠA MARKOVIĆ PREDUZETNIK BELICA;SAMOSTALNA ZANATSKA RADNJA ALINOKS SAŠA MARKOVIĆ PREDUZETNIK BELICA;Not Found;35273 BUNAR;Pomoravski;61936912;105830621;Preduzetnik;20.11.2008.;Mašinska obrada metala
NIKOLA MALETIĆ PR PROIZVODNJA DELOVA I DODATNE OPREME ZA MOTOCIKLE PERUN MOTO BEOGRAD;NIKOLA MALETIĆ PR PERUN MOTO;MILANA RAKIĆA 24;11050 BEOGRAD-ZVEZDARA;Grad Beograd;63733423;108830783;Preduzetnik;21.1.2015.;Proizvodnja ostalih delova i dodatne opreme za motorna vozila
ZF Serbia d.o.o. Pančevo;ZF Serbia d.o.o.;7. Nova 7;26000 Pančevo;Južno-Banatski;21365718;110587181;Društvo sa ograničenom odgovornošću;2.3.2018.;Proizvodnja električne i elektronske opreme za motorna vozila
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU TRGOVINU I USLUGE SINTERMETAL-EC BEOGRAD - ZEMUN;SINTERMETAL-EC DOO BEOGRAD;AUTOPUT ZA NOVI SAD 72B;11080 ZEMUN;Grad Beograd;20366915;105380210;Društvo sa ograničenom odgovornošću;31.12.2007.;Proizvodnja opreme za distribuciju električne energije i opreme za upravljanje električnom energijom
MIŠA ANDONOVIĆ PR MAŠINSKA OBRADA METALA PI-BRUS PIROT;MIŠA ANDONOVIĆ PR MAŠINSKA OBRADA METALA PI-BRUS PIROT;Not Found;18300 PIROT;Pirotski;54875509;100355230;Preduzetnik;1.2.2001.;Mašinska obrada metala
PRIVREDNO DRUŠTVO ZA PROIZVODNJU, TRGOVINU NA VELIKO I MALO I INŽENJERING ŽARKOM DOO KRALJEVO;ŽARKOM DOO KRALJEVO;Jovana Deroka 10;36000 KRALJEVO;Raški;06379826;101070450;Društvo sa ograničenom odgovornošću;25.12.1992.;Proizvodnja hidrauličnih pogonskih uređaja
ŽARKO RADOJIČIĆ PREDUZETNIK RADNJA ZA KONSULTANTSKE I REKLAMNE USLUGE ZARKOM 1983 OSREDCI;ŽARKO RADOJIČIĆ PREDUZETNIK ZARKOM 1983;OSRECI BB;37227 MILENTIJA;Rasinski;63945331;109122799;Preduzetnik;18.8.2015.;Konsultantske aktivnosti u vezi s poslovanjem i ostalim upravljanjem
Nada Mijuca pr metalostrugarska zanatska radnja ŽARKOM PLUS 013 Vršac;Nada Mijuca pr metalostrugarska zanatska radnja ŽARKOM PLUS 013 Vršac;ŠABAČKA 17;26300 VRŠAC;Južno-Banatski;66921778;113573852;Preduzetnik;13.3.2023.;Mašinska obrada metala
HYDRO MAG DOO PARAĆIN;HYDRO MAG DOO;STRIŠKA 30;35250 PARAĆIN;Pomoravski;21093769;108919967;Društvo sa ograničenom odgovornošću;26.3.2015.;Proizvodnja mašina za rudnike, kamenolome i građevinarstvo
PLAZMATEH 7530 DOO ČAČAK;PLAZMATEH 7530 DOO ČAČAK;DR.DRAGIŠE MIŠOVIĆA 169;32000 Čačak;Moravički;21682969;112477535;Društvo sa ograničenom odgovornošću;13.5.2021.;Proizvodnja mašina za ostale specijalne namene
BRANIMIR PLAZINIĆ PREDUZETNIK PROIZVODNJA MERNIH ISTRAŽIVAČKIH I NAVIGACIONIH INSTRUMENATA I APARATA PLAZMATEH ČAČAK;BRANIMIR PLAZINIĆ PR PLAZMATEH ČAČAK;POTES JEZDINSKO POLJE 67;32000 Čačak;Moravički;63262366;108165451;Preduzetnik;19.7.2013.;Proizvodnja mernih, istraživačkih i navigacionih instrumenata i aparata
DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA PROIZVODNJU TRGOVINU I USLUGE RADIJATOR-INŽENJERING KRALJEVO;DOO RADIJATOR-INŽENJERING KRALJEVO;ŽIVOJINA LAZIĆA SOLUNCA 6;36000 KRALJEVO;Raški;17388673;101070206;Društvo sa ograničenom odgovornošću;21.2.2002.;Proizvodnja kotlova i radijatora za centralno grejanje
Inmold Zona d.o.o. Priboj;Inmold Zona d.o.o.;Rača BB;31330 PRIBOJ;Šumadijski;21417700;111042425;Društvo sa ograničenom odgovornošću;18.9.2018.;Mašinska obrada metala
IVAN MITROVIĆ PR MAŠINBRAVARSKA RADIONICA DDM METALING LESKOVAC;IVAN MITROVIĆ PR MAŠINBRAVARSKA RADIONICA DDM METALING LESKOVAC;Vojvode Mišića 39;14234 Leskovac;Grad Beograd;63851256;108997421;Preduzetnik;22.5.2015.;Mašinska obrada metala
PREDUZEĆE ZA PROIZVODNJU PROMET I USLUGE UNIPROMET DOO ČAČAK;UNIPROMET DOO ČAČAK;BULEVAR OSLOBODILACA ČAČKA 92A;32103 ČAČAK;Moravički;07364954;101297718;Društvo sa ograničenom odgovornošću;10.12.1989.;Proizvodnja metalnih konstrukcija i delova konstrukcija
DRUŠTVO ZA SPOLJNU I UNUTRAŠNJU TRGOVINU NA VELIKO I MALO UNIPROMET DOO , LAZAREVAC;UNIPROMET DOO LAZAREVAC;VLADIKE NIKOLAJA VELIMIROVIĆA 161;11550 LAZAREVAC;Grad Beograd;07823096;101137026;Društvo sa ograničenom odgovornošću;26.3.1992.;Trgovina na veliko drvetom, građevinskim materijalom i sanitarnom opremom
DRUŠTVENO PREDUZEĆE UNIPROMET-SM SA PO SREMSKA MITROVICA - U STEČAJU;DRUŠTVENO PREDUZEĆE UNIPROMET-SM SA PO SREMSKA MITROVICA - U STEČAJU;GAJEVA BB;22000 Sremska Mitrovica;Sremski;08360138;100791205;Drugo;21.9.1992.;Trgovina na malo knjigama u specijalizovanim prodavnicama
FONDACIJA UNIPROMET;FONDACIJA UNIPROMET;BULEVAR OSLOBODILACA ČAČKA , 92A;32102 ČAČAK;Moravički;28833695;113126216;Neprofitna organizacija;23.6.2022.;Delatnost ostalih organizacija na bazi učlanjenja
UNIPROMET TRGOVINSKO PREDUZEĆE;UNIPROMET TRGOVINSKO PREDUZEĆE;Not Found;35250 PARAĆIN;Pomoravski;06567398;100876247;Not Found;1.1.0001.;Not Found
COMO DOO JAGODINA;COMO DOO JAGODINA;SLOVENSKI PUT 15;35000 JAGODINA;Pomoravski;20741767;107100441;Društvo sa ograničenom odgovornošću;30.5.2011.;Proizvodnja nameštaja za poslovne i prodajne prostore
DRUŠTVO ZA PROIZVODNJU TRGOVINU I USLUGE HEMSOL COMO DOO BEOGRAD;HEMSOL COMO DOO BEOGRAD;PAVLA MINČIĆA 13;11160 BEOGRAD;Grad Beograd;17246917;100432342;Društvo sa ograničenom odgovornošću;17.1.2000.;Trgovina na veliko metalima i metalnim rudama
COMO IN FORM DOO JAGODINA;COMO IN FORM DOO;SLOVENSKI PUT 15A;35000 JAGODINA;Pomoravski;20998911;108433230;Društvo sa ograničenom odgovornošću;4.3.2014.;Proizvodnja ostalih proizvoda od plastike
LAGO DI COMO DOO NOVI SAD;LAGO DI COMO DOO NOVI SAD;BULEVAR OSLOBOĐENJA 50;21000 Novi Sad;Južno-Bački;20400609;105507641;Društvo sa ograničenom odgovornošću;27.3.2008.;Trgovina na veliko metalnom robom, instalacionim materijalima, opremom i priborom za grejanje
COMO BOATS DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU JAGODINA - U LIKVIDACIJI;COMO BOATS DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU JAGODINA - U LIKVIDACIJI;SLOVENSKI PUT 15;35000 JAGODINA;Pomoravski;21678791;112458410;Društvo sa ograničenom odgovornošću;26.4.2021.;Izrada čamaca za sport i razonodu
BILJANA RISTIĆ PREDUZETNIK UGOSTITELJSKA RADNJA CAFFE COMO BAJINA BAŠTA;BILJANA RISTIĆ PREDUZETNIK CAFFE COMO;Vojvode Mišića 46;31250 Bajina Bašta;Zlatiborski;65405610;111432076;Preduzetnik;14.5.2019.;Usluge pripremanja i posluživanja pića
IGOR VELJIĆ PR TRGOVINSKA RADNJA COMO COLOR BEOGRAD;IGOR VELJIĆ PR COMO COLOR;JOVANKE RADAKOVIĆ 31 P;11050 BEOGRAD-ZVEZDARA;Grad Beograd;64648829;110096377;Preduzetnik;14.6.2017.;Trgovina na malo metalnom robom, bojama i staklom u specijalizovanim prodavnicama
"""Centar za pravilno upravljanje medicinskim i farmaceutskim otpadom-COMO""";"""Centar za pravilno upravljanje medicinskim i farmaceutskim otpadom-COMO""";Stanka Vlasotinčanina 9;18000 NIŠ;Grad Niš;28295081;111826698;Udruženje, savez;13.1.2020.;Delatnost ostalih organizacija na bazi učlanjenja
DARKO BANTULIĆ PR prodaja automobila COMO AUTO KRALJEVO;DARKO BANTULIĆ PR COMO AUTO;MARIBORSKA 3;36000 KRALJEVO;Raški;66941213;113600087;Preduzetnik;27.3.2023.;Trgovina automobilima i lakim motornim vozilima
Dejan Rakonjac PR održavanje i popravka nameštaja Como dizajn Kraljevo;Dejan Rakonjac PR Como dizajn;ŽIČKA 65;36000 KRALJEVO;Raški;66035131;112335725;Preduzetnik;4.2.2021.;Održavanje i popravka nameštaja
PRIVREDNO DRUŠTVO ZA USLUGE I TRGOVINU JOVALEX CENTAR DOO KRAGUJEVAC;JOVALEX CENTAR DOO;Miodraga Vlajića Šuke 4;34000 KRAGUJEVAC;Šumadijski;21022730;108554473;Društvo sa ograničenom odgovornošću;6.6.2014.;Tehničko ispitivanje i analize
KAO JOVALEX DOO KRAGUJEVAC;KAO JOVALEX DOO;Miodraga Vlajića Šuke 4;34000 KRAGUJEVAC;Šumadijski;21322067;110235820;Društvo sa ograničenom odgovornošću;19.9.2017.;Tehničko ispitivanje i analize
SANJA TRIFUNOVIĆ PREDUZETNIK, TRGOVINSKA RADNJA JOVALEX, KUČEVO;SANJA TRIFUNOVIĆ PREDUZETNIK, TRGOVINSKA RADNJA JOVALEX, KUČEVO;Svetog Save 166;12240 KUČEVO;Braničevski;61831991;104837751;Preduzetnik;22.1.2009.;Trgovina na malo metalnom robom, bojama i staklom u specijalizovanim prodavnicama
JOVALEX 011 DOO BEOGRAD;JOVALEX 011 DOO;AUTOPUT ZA NOVI SAD 68;11080 ZEMUN;Grad Beograd;21633330;112240863;Društvo sa ograničenom odgovornošću;19.11.2020.;Tehničko ispitivanje i analize
PRIVREDNO DRUŠTVO ZA TRGOVINU I USLUGE JOVALEX 034 DOO LESKOVAC;JOVALEX 034 DOO;JAGODINSKA 204;16000 LESKOVAC;Jablanički;21356662;110502833;Društvo sa ograničenom odgovornošću;30.1.2018.;Trgovina automobilima i lakim motornim vozilima
JOVALEX-AUTO DOO MEDVEĐA;JOVALEX-AUTO DOO MEDVEĐA;VUKA KARADžIĆA 45;16240 MEDVEDJA;Jablanički;20494549;105938146;Društvo sa ograničenom odgovornošću;23.1.2009.;Trgovina automobilima i lakim motornim vozilima
PRIVREDNO DRUŠTVO ZA PROIZVODNJU I TRGOVINU AUTOSTOP INTERIORS DOO LESKOVAC;AUTOSTOP INTERIORS DOO LESKOVAC;Tekstilna 40;14234 Leskovac;Grad Beograd;20862483;107739971;Društvo sa ograničenom odgovornošću;25.9.2012.;Proizvodnja ostalog tehničkog i industrijskog tekstila
Beoven TEC D.o.o. Preduzeće za trgovinu inženjering i konsalting Beograd-Novi Beograd;Beoven TEC D.o.o.;Jurija Gagarina 53;11070 NOVI BEOGRAD;Grad Beograd;20951443;108200653;Društvo sa ograničenom odgovornošću;23.8.2013.;Nespecijalizovana trgovina na veliko
PREDUZEĆE ZA SPOLJNU I UNUTRAŠNJU TRGOVINU VESIMPEX DOO BEOGRAD (RAKOVICA);PREDUZEĆE VESIMPEX DOO BEOGRAD;PATRIJARHA DIMITRIJA 24;11090 BEOGRAD-RAKOVICA;Grad Beograd;07546505;100177949;Društvo sa ograničenom odgovornošću;7.1.1991.;Proizvodnja ostale električne opreme
IGOR JOVIČIĆ PR TRGOVINA NA VELIKO I MALO MOTO-BIKE KAĆ;IGOR JOVIČIĆ PR TRGOVINA NA VELIKO I MALO MOTO-BIKE KAĆ;Svetosavska 70a-74;21241 Kać;Južno-Bački;54515545;101649819;Preduzetnik;23.8.1999.;Nespecijalizovana trgovina na veliko
MOTO-BIKE DOO ZA PROIZVODNJU I PROMET ROBA I USLUGA,EXPORT-IMPORT BAČKA TOPOLA;MOTO-BIKE DOO BAČKA TOPOLA;Maršala Tita 96;24300 Bačka Topola;Severno-Bački;08651531;101581904;Društvo sa ograničenom odgovornošću;23.12.1999.;Trgovina motociklima, delovima i priborom, održavanje i popravka motocikala
ZORAN CVEJIĆ PR TRGOVINSKA RADNJA I DRUGE USLUGE MOTO BIKE SERVIS MARKO S SHOP SREMČICA;ZORAN CVEJIĆ PR MOTO BIKE SERVIS MARKO S SHOP;TOMASA EDISONA 8;11255 Sremčica;Grad Beograd;64688251;110153137;Preduzetnik;25.7.2017.;Ostala trgovina na malo u nespecijalizovanim prodavnicama
MOTOBIKE DOO ZA PROIZVODNJU I PROMET ROBA I USLUGA BEČEJ;MOTOBIKE DOO BEČEJ;PETEFI ŠANDORA 33;21220 Bečej;Južno-Bački;08704031;100434704;Društvo sa ograničenom odgovornošću;14.6.2000.;Trgovina motociklima, delovima i priborom, održavanje i popravka motocikala
SVETLANA ĆIRIĆ PR UGOSTITELJSKA RADNJA MOTO BIKE HOUSE 2013 VALJEVO;SVETLANA ĆIRIĆ PR UGOSTITELJSKA RADNJA MOTO BIKE HOUSE 2013 VALJEVO;DUŠANOVA 47;14000 VALJEVO;Kolubarski;65323621;111309011;Preduzetnik;28.2.2019.;Usluge pripremanja i posluživanja pića
DUŠKO ĆIRIĆ PR UGOSTITELJSKA RADNJA MOTO BIKE HOUSE VALJEVO;DUŠKO ĆIRIĆ PR UGOSTITELJSKA RADNJA MOTO BIKE HOUSE VALJEVO;VLADIKE NIKOLAJA 9;14000 VALJEVO;Kolubarski;64498975;109891606;Preduzetnik;6.2.2017.;Usluge pripremanja i posluživanja pića
ZR MOTO BIKE MIODRAG TRIFIĆ PR ŠID;MOTO BIKE;SVETOG SAVE 48;22240 Šid;Sremski;60133948;104369003;Preduzetnik;22.5.2006.;Popravka ostalih ličnih predmeta i predmeta za domaćinstvo
SLAĐANA CVETKOVIĆ PR TRGOVINSKA RADNJA MOTO BIKE PLUS LESKOVAC;SLAĐANA CVETKOVIĆ PR TRGOVINSKA RADNJA MOTO BIKE PLUS LESKOVAC;Zelena pijaca tezga br.155;14234 Leskovac;Grad Beograd;63149136;108010979;Preduzetnik;4.4.2013.;Trgovina na malo ostalom robom na tezgama i pijacama
SINTAL DOO BEOGRAD (ZVEZDARA);SINTAL DOO BEOGRAD;LADNE VODE 13;11050 BEOGRAD-ZVEZDARA;Grad Beograd;20711914;106947794;Društvo sa ograničenom odgovornošću;14.2.2011.;Proizvodnja ostalih tehničkih proizvoda od keramike
PRIVREDNO DRUŠTVO ZA PROIZVODNJU, PROMET I USLUGE MAREL DOO, VELIKO GOLOVODE;DOO MAREL VELIKO GOLOVODE KRUŠEVAC;VELIKO GOLOVODE BB;37000 KRUŠEVAC;Rasinski;17003585;101766515;Društvo sa ograničenom odgovornošću;1.9.1994.;Proizvodnja ostale električne opreme
PRIVREDNO DRUŠTVO ZA PROIZVODNJU TRGOVINU I USLUGE MAREL ANT DOO KRUŠEVAC;MAREL ANT DOO KRUŠEVAC;Kosovska 64/2;37000 KRUŠEVAC;Rasinski;21086193;108881045;Društvo sa ograničenom odgovornošću;27.2.2015.;Proizvodnja ostale električne opreme
MARKO PETROVIĆ PREDUZETNIK, SAMOSTALNA ELEKTROINSTALATERSKA RADNJA MAREL, STARI BANOVCI;MAREL;Zlatka Skerletovića 4;22303 BANOVCIDUNAV;Sremski;62451106;107033808;Preduzetnik;11.4.2011.;Postavljanje električnih instalacija
Marko Pjevac pr Postavljanje električnih instalacija MAR-EL Šabac;Marko Pjevac pr Postavljanje električnih instalacija MAR-EL Šabac;POP LUKINA 21;15000 ŠABAC;Mačvanski;67310594;114082022;Preduzetnik;30.11.2023.;Postavljanje električnih instalacija
Milan Marelj PR Izrada i održavanje softvera, servisiranje i konfiguracija računarske opreme MAREL SOFT Niš;Milan Marelj PR Izrada i održavanje softvera, servisiranje i konfiguracija računarske opreme MAREL SOFT Niš;ORLOVIĆA PAVLA 16;18105 NIŠ;Grad Niš;66763587;113354604;Preduzetnik;3.11.2022.;Računarsko programiranje
NENAD MARJANOVIĆ PR GRAĐEVINSKA ZANATSKA RADNJA MAREL NM BEOGRAD;NENAD MARJANOVIĆ PR MAREL NM;Borska 84;11090 BEOGRAD-RAKOVICA;Grad Beograd;64968726;110722641;Preduzetnik;20.4.2018.;Postavljanje električnih instalacija
KORDUN METALI DOO NOVI SAD;KORDUN METALI DOO;BULEVAR JAŠE TOMIĆA 24;21000 Novi Sad;Južno-Bački;21257788;109869000;Društvo sa ograničenom odgovornošću;20.1.2017.;Popravka mašina
TELIX PREDUZEĆE ZA PROIZVODNJU TRGOVINU I USLUGE DOO NOVI SAD;DOO TELIX NOVI SAD;Bulevar Slobodana Jovanovića 2;21000 Novi Sad;Južno-Bački;08656436;100728284;Društvo sa ograničenom odgovornošću;26.6.1997.;Proizvodnja računara i periferne opreme
DUŠAN SAVIĆ PR TRGOVINA AUDIO I VIDEO OPREMOM TELIX UŽICE;DUŠAN SAVIĆ PR TELIX;SLANUŠKA 19;31000 Užice;Zlatiborski;66953785;113618247;Preduzetnik;4.4.2023.;Trgovina na malo audio i video opremom u specijalizovanim prodavnicama
BILjANA GAJIĆ MARKOVIĆ PR RADNjA ZA PROIZVODNjU METALNIH PROIZVODA ALFA PRODUKT MIONICA;BILjANA GAJIĆ MARKOVIĆ PR ALFA PRODUKT;DR JOVE ALEKSIĆA 10;14242 MIONICA;Kolubarski;64312863;109624502;Preduzetnik;20.7.2016.;Proizvodnja ostalih metalnih proizvoda
ALEKSANDRA BOCKA PR PROIZVODNJA AMBALAŽE OD PLASTIKE ALFA PRODUKT PLUS KOMERC DAŠNICA;ALEKSANDRA BOCKA PR ALFA PRODUKT PLUS KOMERC;DAŠNICA;37271 Dašnica;Rasinski;64612271;110050603;Preduzetnik;22.5.2017.;Proizvodnja ambalaže od plastike
PRIVREDNO DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU ZA RAZVOJ ELEKTRO UREĐAJA I SISTEMA REMONT ENERGETSKE OPREME UŠTEDU ENERGIJE I GRADNJU KOLEKTOR ETRA BEOGRAD-BARAJEVO;KOLEKTOR ETRA DOO BEOGRAD;Svetosavska 394 D;11460 BARAJEVO;Grad Beograd;07027800;101833963;Društvo sa ograničenom odgovornošću;5.2.1974.;Proizvodnja elektromotora, generatora i transformatora
KOLEKTOR ATS DRUŠTVO SA OGRANIČENOM ODGOVORNOŠĆU NOVI SAD;KOLEKTOR ATS D.O.O. NOVI SAD;PRIMORSKA 86;21127 NOVI SAD;Južno-Bački;21033545;108609550;Društvo sa ograničenom odgovornošću;25.7.2014.;Proizvodnja ostalih proizvoda od plastike
PRIVREDNO DRUŠTVO WEG KOLEKTOR DOO BEOGRAD (SAVSKI VENAC);WEG KOLEKTOR DOO BEOGRAD;LjUTICE BOGDANA 1A;11000 BEOGRAD;Grad Beograd;20627913;106545562;Društvo sa ograničenom odgovornošću;26.3.2010.;Izgradnja železničkih pruga i podzemnih železnica
Kolektor Engineering društvo sa ograničenom odgovornošću Lazarevac;Kolektor Engineering d.o.o. Lazarevac;STEFANA NEMANJE 136;11550 LAZAREVAC;Grad Beograd;20884118;107856743;Društvo sa ograničenom odgovornošću;17.12.2012.;Izgradnja stambenih i nestambenih zgrada
KOLEKTOR SISTEH d.o.o. ogranak Beograd-Zvezdara;KOLEKTOR SISTEH d.o.o. ogranak Beograd-Zvezdara;Ruzveltova 48;11050 BEOGRAD-ZVEZDARA;Grad Beograd;29504571;110512744;Drugo;2.2.2018.;Inženjerske delatnosti i tehničko savetovanje
SAMOSTALNA ZANATSKO TRGOVINSKO KOMISIONA RADNJA KOLEKTOR ALEKSANDAR VIDIĆ PR UZIĆI;KOLEKTOR;Not Found;31212 POŽEGA;Zlatiborski;55723338;102158721;Preduzetnik;9.12.2002.;Popravka mašina
KOLEKTOR KOLING RS D.O.O. NOVI SAD;KOLEKTOR KOLING RS D.O.O.;PRIMORSKA 86;21000 Novi Sad;Južno-Bački;21071382;108807877;Društvo sa ograničenom odgovornošću;26.12.2014.;Izgradnja stambenih i nestambenih zgrada
WALKER-KOLEKTOR DOO OBRENOVAC;WALKER-KOLEKTOR DOO;BOGDANA JAKOVLjEVIĆA 23A;11500 OBRENOVAC;Grad Beograd;21850209;113347700;Društvo sa ograničenom odgovornošću;31.10.2022.;Trgovina na veliko otpacima i ostacima
VELJKO AŠANIN PR PREVOZNIČKA RADNJA KOLEKTOR MM VISIBABA;KOLEKTOR MM;VISIBABA BB;31210 POŽEGA;Zlatiborski;64216074;109501174;Preduzetnik;11.5.2016.;Drumski prevoz tereta
